name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
HDS_USECOL:P-E3-S6_1_TIME:23846401.0,681.432,0.440206,680.27,682.394,681.872,680.991,754.044,41.4027,684.53,897.24,795.447,712.642,2.13637
HDS_USECOL:P-E3-S6_1_TIME:23932801.0,681.623,0.458605,680.399,682.697,682.082,681.165,754.042,41.401,684.53,897.23,795.443,712.641,1.83307
HDS_USECOL:P-E3-S6_1_TIME:24019201.0,681.479,0.510349,680.383,682.711,681.99,680.969,754.04,41.4003,684.53,897.23,795.44,712.64,1.81928
HDS_USECOL:P-E3-S6_1_TIME:24105601.0,681.538,0.509551,680.066,682.689,682.047,681.028,754.038,41.399,684.53,897.22,795.437,712.639,1.84051
HDS_USECOL:P-E3-S6_1_TIME:24192001.0,681.559,0.462668,680.399,682.823,682.022,681.096,754.036,41.3981,684.52,897.21,795.434,712.638,1.69714
HDS_USECOL:P-E3-S6_1_TIME:24278401.0,681.589,0.554813,680.229,683.18,682.144,681.034,754.034,41.3966,684.52,897.2,795.431,712.638,1.33988
HDS_USECOL:P-E3-S6_1_TIME:24364801.0,681.632,0.477127,680.675,682.841,682.109,681.155,754.031,41.395,684.52,897.19,795.426,712.636,1.67905
HDS_USECOL:P-E3-S6_1_TIME:24451201.0,681.744,0.519516,679.929,682.858,682.263,681.224,754.029,41.3948,684.52,897.19,795.424,712.635,1.6616
HDS_USECOL:P-E3-S6_1_TIME:24537601.0,681.577,0.520745,680.666,683.041,682.098,681.056,754.027,41.3929,684.52,897.18,795.42,712.634,1.47887
HDS_USECOL:P-E3-S6_1_TIME:24624001.0,681.531,0.550631,680.116,682.528,682.082,680.981,754.025,41.3919,684.52,897.17,795.417,712.633,1.99248
HDS_USECOL:P-E3-S6_1_TIME:24710401.0,681.634,0.446448,680.558,682.653,682.081,681.188,754.022,41.39,684.52,897.16,795.412,712.632,1.86708
HDS_USECOL:P-E3-S6_1_TIME:24796801.0,681.559,0.488352,680.543,682.728,682.047,681.071,754.02,41.389,684.52,897.15,795.409,712.631,1.79244
HDS_USECOL:P-E3-S6_1_TIME:24883201.0,681.577,0.550299,680.242,683.072,682.128,681.027,754.018,41.3878,684.52,897.15,795.406,712.63,1.44846
