name,value,group,weight
flow_gal_usecol:gal-flow_time:112060801.0,-0.0050153,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112147201.0,-0.0048698,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112233601.0,-0.0047304,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112320001.0,-0.0045969,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11232001.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:1123201.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112406401.0,-0.004469,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112492801.0,-0.0043465,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112579201.0,-0.0042291,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112665601.0,-0.0041166,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112752001.0,-0.0040089,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112838401.0,-0.0039056,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:112924801.0,-0.0038067,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113011201.0,-0.0037119,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113097601.0,-0.003621,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113184001.0,-0.003534,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11318401.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113270401.0,-0.0034505,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113356801.0,-0.0033705,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113443201.0,-0.0032939,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113529601.0,-0.0032204,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113616001.0,-0.0031499,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113702401.0,-0.0030824,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113788801.0,-0.0030176,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113875201.0,-0.0029555,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:113961601.0,-0.002896,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114048001.0,-0.0028389,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11404801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114134401.0,-0.018567,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114220801.0,-0.017848,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114307201.0,-0.017158,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114393601.0,-0.016496,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114480001.0,-0.015862,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114566401.0,-0.015255,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114652801.0,-0.014673,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114739201.0,-0.014115,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114825601.0,-0.01358,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:114912001.0,-0.013068,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11491201.0,0,flow_gal_usecol:gal-flow,0
