time,GAL-FLOW
59270401.00000,.3000000000000000E+31
59356801.00000,.3000000000000000E+31
59443201.00000,.3000000000000000E+31
59529601.00000,.3000000000000000E+31
59616001.00000,.3000000000000000E+31
59702401.00000,.3000000000000000E+31
59788801.00000,.3000000000000000E+31
59875201.00000,.3000000000000000E+31
59961601.00000,.3000000000000000E+31
60048001.00000,.3000000000000000E+31
60134401.00000,.3000000000000000E+31
60220801.00000,.3000000000000000E+31
60307201.00000,.3000000000000000E+31
60393601.00000,.3000000000000000E+31
60480001.00000,.3000000000000000E+31
60566401.00000,.3000000000000000E+31
60652801.00000,.3000000000000000E+31
60739201.00000,.3000000000000000E+31
60825601.00000,.3000000000000000E+31
60912001.00000,.3000000000000000E+31
60998401.00000,.3000000000000000E+31
61084801.00000,.3000000000000000E+31
61171201.00000,.3000000000000000E+31
61257601.00000,.3000000000000000E+31
61344001.00000,.3000000000000000E+31
61430401.00000,.3000000000000000E+31
61516801.00000,.3000000000000000E+31
61603201.00000,.3000000000000000E+31
61689601.00000,.3000000000000000E+31
61776001.00000,.3000000000000000E+31
61862401.00000,.3000000000000000E+31
61948801.00000,.3000000000000000E+31
62035201.00000,.3000000000000000E+31
62121601.00000,.3000000000000000E+31
62208001.00000,.3000000000000000E+31
62294401.00000,.3000000000000000E+31
62380801.00000,.3000000000000000E+31
62467201.00000,.3000000000000000E+31
62553601.00000,.3000000000000000E+31
62640001.00000,.3000000000000000E+31
62726401.00000,.3000000000000000E+31
62812801.00000,.3000000000000000E+31
62899201.00000,.3000000000000000E+31
62985601.00000,.3000000000000000E+31
63072001.00000,.3000000000000000E+31
63158401.00000,.3000000000000000E+31
63244801.00000,.3000000000000000E+31
63331201.00000,.3000000000000000E+31
63417601.00000,.3000000000000000E+31
63504001.00000,.3000000000000000E+31
63590401.00000,.3000000000000000E+31
63676801.00000,.3000000000000000E+31
63763201.00000,.3000000000000000E+31
63849601.00000,.3000000000000000E+31
63936001.00000,.3000000000000000E+31
64022401.00000,.3000000000000000E+31
64108801.00000,.3000000000000000E+31
64195201.00000,.3000000000000000E+31
64281601.00000,.3000000000000000E+31
64368001.00000,.3000000000000000E+31
64454401.00000,.3000000000000000E+31
64540801.00000,.3000000000000000E+31
64627201.00000,.3000000000000000E+31
64713601.00000,.3000000000000000E+31
64800001.00000,.3000000000000000E+31
64886401.00000,.3000000000000000E+31
64972801.00000,.3000000000000000E+31
65059201.00000,.3000000000000000E+31
65145601.00000,.3000000000000000E+31
65232001.00000,.3000000000000000E+31
65318401.00000,.3000000000000000E+31
65404801.00000,.3000000000000000E+31
65491201.00000,.3000000000000000E+31
65577601.00000,.3000000000000000E+31
65664001.00000,.3000000000000000E+31
65750401.00000,.3000000000000000E+31
65836801.00000,.3000000000000000E+31
65923201.00000,.3000000000000000E+31
66009601.00000,.3000000000000000E+31
66096001.00000,.3000000000000000E+31
66182401.00000,.3000000000000000E+31
66268801.00000,.3000000000000000E+31
66355201.00000,.3000000000000000E+31
66441601.00000,.3000000000000000E+31
66528001.00000,.3000000000000000E+31
66614401.00000,.3000000000000000E+31
66700801.00000,.3000000000000000E+31
66787201.00000,.3000000000000000E+31
66873601.00000,.3000000000000000E+31
66960001.00000,.3000000000000000E+31
67046401.00000,.3000000000000000E+31
67132801.00000,.3000000000000000E+31
67219201.00000,.3000000000000000E+31
67305601.00000,.3000000000000000E+31
67392001.00000,.3000000000000000E+31
67478401.00000,.3000000000000000E+31
67564801.00000,.3000000000000000E+31
67651201.00000,.3000000000000000E+31
67737601.00000,.3000000000000000E+31
67824001.00000,.3000000000000000E+31
67910401.00000,.3000000000000000E+31
67996801.00000,.3000000000000000E+31
68083201.00000,.3000000000000000E+31
68169601.00000,.3000000000000000E+31
68256001.00000,.3000000000000000E+31
68342401.00000,.3000000000000000E+31
68428801.00000,.3000000000000000E+31
68515201.00000,.3000000000000000E+31
68601601.00000,.3000000000000000E+31
68688001.00000,.3000000000000000E+31
68774401.00000,.3000000000000000E+31
68860801.00000,.3000000000000000E+31
68947201.00000,.3000000000000000E+31
69033601.00000,.3000000000000000E+31
69120001.00000,.3000000000000000E+31
69206401.00000,.3000000000000000E+31
69292801.00000,.3000000000000000E+31
69379201.00000,.3000000000000000E+31
69465601.00000,.3000000000000000E+31
69552001.00000,.3000000000000000E+31
69638401.00000,.3000000000000000E+31
69724801.00000,.3000000000000000E+31
69811201.00000,.3000000000000000E+31
69897601.00000,.3000000000000000E+31
69984001.00000,.3000000000000000E+31
70070401.00000,.3000000000000000E+31
70156801.00000,.3000000000000000E+31
70243201.00000,.3000000000000000E+31
70329601.00000,.3000000000000000E+31
70416001.00000,.3000000000000000E+31
70502401.00000,.3000000000000000E+31
70588801.00000,.3000000000000000E+31
70675201.00000,.3000000000000000E+31
70761601.00000,.3000000000000000E+31
70848001.00000,.3000000000000000E+31
70934401.00000,.3000000000000000E+31
71020801.00000,.3000000000000000E+31
71107201.00000,.3000000000000000E+31
71193601.00000,.3000000000000000E+31
71280001.00000,.3000000000000000E+31
71366401.00000,.3000000000000000E+31
71452801.00000,.3000000000000000E+31
71539201.00000,.3000000000000000E+31
71625601.00000,.3000000000000000E+31
71712001.00000,.3000000000000000E+31
71798401.00000,.3000000000000000E+31
71884801.00000,.3000000000000000E+31
71971201.00000,.3000000000000000E+31
72057601.00000,.3000000000000000E+31
72144001.00000,.3000000000000000E+31
72230401.00000,.3000000000000000E+31
72316801.00000,.3000000000000000E+31
72403201.00000,.3000000000000000E+31
72489601.00000,.3000000000000000E+31
72576001.00000,.3000000000000000E+31
72662401.00000,.3000000000000000E+31
72748801.00000,.3000000000000000E+31
72835201.00000,.3000000000000000E+31
72921601.00000,.3000000000000000E+31
73008001.00000,.3000000000000000E+31
73094401.00000,.3000000000000000E+31
73180801.00000,.3000000000000000E+31
73267201.00000,.3000000000000000E+31
73353601.00000,.3000000000000000E+31
73440001.00000,.3000000000000000E+31
73526401.00000,.3000000000000000E+31
73612801.00000,.3000000000000000E+31
73699201.00000,.3000000000000000E+31
73785601.00000,.3000000000000000E+31
73872001.00000,.3000000000000000E+31
73958401.00000,.3000000000000000E+31
74044801.00000,.3000000000000000E+31
74131201.00000,.3000000000000000E+31
74217601.00000,.3000000000000000E+31
74304001.00000,.3000000000000000E+31
74390401.00000,.3000000000000000E+31
74476801.00000,.3000000000000000E+31
74563201.00000,.3000000000000000E+31
74649601.00000,.3000000000000000E+31
74736001.00000,.3000000000000000E+31
74822401.00000,.3000000000000000E+31
74908801.00000,.3000000000000000E+31
74995201.00000,.3000000000000000E+31
75081601.00000,.3000000000000000E+31
75168001.00000,.3000000000000000E+31
75254401.00000,.3000000000000000E+31
75340801.00000,.3000000000000000E+31
75427201.00000,.3000000000000000E+31
75513601.00000,.3000000000000000E+31
75600001.00000,.3000000000000000E+31
75686401.00000,.3000000000000000E+31
75772801.00000,.3000000000000000E+31
75859201.00000,.3000000000000000E+31
75945601.00000,.3000000000000000E+31
76032001.00000,.3000000000000000E+31
76118401.00000,.3000000000000000E+31
76204801.00000,.3000000000000000E+31
76291201.00000,.3000000000000000E+31
76377601.00000,.3000000000000000E+31
76464001.00000,.3000000000000000E+31
76550401.00000,.3000000000000000E+31
76636801.00000,.3000000000000000E+31
76723201.00000,.3000000000000000E+31
76809601.00000,.3000000000000000E+31
76896001.00000,.3000000000000000E+31
76982401.00000,.3000000000000000E+31
77068801.00000,.3000000000000000E+31
77155201.00000,.3000000000000000E+31
77241601.00000,.3000000000000000E+31
77328001.00000,.3000000000000000E+31
77414401.00000,.3000000000000000E+31
77500801.00000,.3000000000000000E+31
77587201.00000,.3000000000000000E+31
77673601.00000,.3000000000000000E+31
77760001.00000,.3000000000000000E+31
77846401.00000,.3000000000000000E+31
77932801.00000,.3000000000000000E+31
78019201.00000,.3000000000000000E+31
78105601.00000,.3000000000000000E+31
78192001.00000,.3000000000000000E+31
78278401.00000,.3000000000000000E+31
78364801.00000,.3000000000000000E+31
78451201.00000,.3000000000000000E+31
78537601.00000,.3000000000000000E+31
78624001.00000,.3000000000000000E+31
78710401.00000,.3000000000000000E+31
78796801.00000,.3000000000000000E+31
78883201.00000,.3000000000000000E+31
78969601.00000,.3000000000000000E+31
79056001.00000,.3000000000000000E+31
79142401.00000,.3000000000000000E+31
79228801.00000,.3000000000000000E+31
79315201.00000,.3000000000000000E+31
79401601.00000,.3000000000000000E+31
79488001.00000,.3000000000000000E+31
79574401.00000,.3000000000000000E+31
79660801.00000,.3000000000000000E+31
79747201.00000,.3000000000000000E+31
79833601.00000,.3000000000000000E+31
79920001.00000,.3000000000000000E+31
80006401.00000,.3000000000000000E+31
80092801.00000,.3000000000000000E+31
80179201.00000,.3000000000000000E+31
80265601.00000,.3000000000000000E+31
80352001.00000,.3000000000000000E+31
80438401.00000,.3000000000000000E+31
80524801.00000,.3000000000000000E+31
80611201.00000,.3000000000000000E+31
80697601.00000,.3000000000000000E+31
80784001.00000,.3000000000000000E+31
80870401.00000,.3000000000000000E+31
80956801.00000,.3000000000000000E+31
81043201.00000,.3000000000000000E+31
81129601.00000,.3000000000000000E+31
81216001.00000,.3000000000000000E+31
81302401.00000,.3000000000000000E+31
81388801.00000,.3000000000000000E+31
81475201.00000,.3000000000000000E+31
81561601.00000,.3000000000000000E+31
81648001.00000,.3000000000000000E+31
81734401.00000,.3000000000000000E+31
81820801.00000,.3000000000000000E+31
81907201.00000,.3000000000000000E+31
81993601.00000,.3000000000000000E+31
82080001.00000,.3000000000000000E+31
82166401.00000,.3000000000000000E+31
82252801.00000,.3000000000000000E+31
82339201.00000,.3000000000000000E+31
82425601.00000,.3000000000000000E+31
82512001.00000,.3000000000000000E+31
82598401.00000,.3000000000000000E+31
82684801.00000,.3000000000000000E+31
82771201.00000,.3000000000000000E+31
82857601.00000,.3000000000000000E+31
82944001.00000,.3000000000000000E+31
83030401.00000,.3000000000000000E+31
83116801.00000,.3000000000000000E+31
83203201.00000,.3000000000000000E+31
83289601.00000,.3000000000000000E+31
83376001.00000,.3000000000000000E+31
83462401.00000,.3000000000000000E+31
83548801.00000,.3000000000000000E+31
83635201.00000,.3000000000000000E+31
83721601.00000,.3000000000000000E+31
83808001.00000,.3000000000000000E+31
83894401.00000,.3000000000000000E+31
83980801.00000,.3000000000000000E+31
84067201.00000,.3000000000000000E+31
84153601.00000,.3000000000000000E+31
84240001.00000,.3000000000000000E+31
84326401.00000,.3000000000000000E+31
84412801.00000,.3000000000000000E+31
84499201.00000,.3000000000000000E+31
84585601.00000,.3000000000000000E+31
84672001.00000,.3000000000000000E+31
84758401.00000,.3000000000000000E+31
84844801.00000,.3000000000000000E+31
84931201.00000,.3000000000000000E+31
85017601.00000,.3000000000000000E+31
85104001.00000,.3000000000000000E+31
85190401.00000,.3000000000000000E+31
85276801.00000,.3000000000000000E+31
85363201.00000,.3000000000000000E+31
85449601.00000,.3000000000000000E+31
85536001.00000,.3000000000000000E+31
85622401.00000,.3000000000000000E+31
85708801.00000,.3000000000000000E+31
85795201.00000,.3000000000000000E+31
85881601.00000,.3000000000000000E+31
85968001.00000,.3000000000000000E+31
86054401.00000,.3000000000000000E+31
86140801.00000,.3000000000000000E+31
86227201.00000,.3000000000000000E+31
86313601.00000,.3000000000000000E+31
86400001.00000,.3000000000000000E+31
86486401.00000,.3000000000000000E+31
86572801.00000,.3000000000000000E+31
86659201.00000,.3000000000000000E+31
86745601.00000,.3000000000000000E+31
86832001.00000,.3000000000000000E+31
86918401.00000,.3000000000000000E+31
87004801.00000,.3000000000000000E+31
87091201.00000,.3000000000000000E+31
87177601.00000,.3000000000000000E+31
87264001.00000,.3000000000000000E+31
87350401.00000,.3000000000000000E+31
87436801.00000,.3000000000000000E+31
87523201.00000,.3000000000000000E+31
87609601.00000,.3000000000000000E+31
87696001.00000,.3000000000000000E+31
87782401.00000,.3000000000000000E+31
87868801.00000,.3000000000000000E+31
87955201.00000,.3000000000000000E+31
88041601.00000,.3000000000000000E+31
88128001.00000,.3000000000000000E+31
88214401.00000,.3000000000000000E+31
88300801.00000,.3000000000000000E+31
88387201.00000,.3000000000000000E+31
88473601.00000,.3000000000000000E+31
88560001.00000,.3000000000000000E+31
88646401.00000,.3000000000000000E+31
88732801.00000,.3000000000000000E+31
88819201.00000,.3000000000000000E+31
88905601.00000,.3000000000000000E+31
88992001.00000,.3000000000000000E+31
89078401.00000,.3000000000000000E+31
89164801.00000,.3000000000000000E+31
89251201.00000,.3000000000000000E+31
89337601.00000,.3000000000000000E+31
89424001.00000,.3000000000000000E+31
89510401.00000,.3000000000000000E+31
89596801.00000,.3000000000000000E+31
89683201.00000,.3000000000000000E+31
89769601.00000,.3000000000000000E+31
89856001.00000,.3000000000000000E+31
89942401.00000,.3000000000000000E+31
90028801.00000,.3000000000000000E+31
90115201.00000,.3000000000000000E+31
90201601.00000,.3000000000000000E+31
90288001.00000,.3000000000000000E+31
90374401.00000,.3000000000000000E+31
90460801.00000,.3000000000000000E+31
90547201.00000,.3000000000000000E+31
90633601.00000,.3000000000000000E+31
90720001.00000,.3000000000000000E+31
90806401.00000,.3000000000000000E+31
90892801.00000,.3000000000000000E+31
90979201.00000,.3000000000000000E+31
91065601.00000,.3000000000000000E+31
91152001.00000,.3000000000000000E+31
91238401.00000,.3000000000000000E+31
91324801.00000,.3000000000000000E+31
91411201.00000,.3000000000000000E+31
91497601.00000,.3000000000000000E+31
91584001.00000,.3000000000000000E+31
91670401.00000,.3000000000000000E+31
91756801.00000,.3000000000000000E+31
91843201.00000,.3000000000000000E+31
91929601.00000,.3000000000000000E+31
92016001.00000,.3000000000000000E+31
92102401.00000,.3000000000000000E+31
92188801.00000,.3000000000000000E+31
92275201.00000,.3000000000000000E+31
92361601.00000,.3000000000000000E+31
92448001.00000,.3000000000000000E+31
92534401.00000,.3000000000000000E+31
92620801.00000,.3000000000000000E+31
92707201.00000,.3000000000000000E+31
92793601.00000,.3000000000000000E+31
92880001.00000,.3000000000000000E+31
92966401.00000,.3000000000000000E+31
93052801.00000,.3000000000000000E+31
93139201.00000,.3000000000000000E+31
93225601.00000,.3000000000000000E+31
93312001.00000,.3000000000000000E+31
93398401.00000,.3000000000000000E+31
93484801.00000,.3000000000000000E+31
93571201.00000,.3000000000000000E+31
93657601.00000,.3000000000000000E+31
93744001.00000,.3000000000000000E+31
93830401.00000,.3000000000000000E+31
93916801.00000,.3000000000000000E+31
94003201.00000,.3000000000000000E+31
94089601.00000,.3000000000000000E+31
94176001.00000,.3000000000000000E+31
94262401.00000,.3000000000000000E+31
94348801.00000,.3000000000000000E+31
94435201.00000,.3000000000000000E+31
94521601.00000,.3000000000000000E+31
94608001.00000,.3000000000000000E+31
94694401.00000,.3000000000000000E+31
94780801.00000,.3000000000000000E+31
94867201.00000,.3000000000000000E+31
94953601.00000,.3000000000000000E+31
95040001.00000,.3000000000000000E+31
95126401.00000,.3000000000000000E+31
95212801.00000,.3000000000000000E+31
95299201.00000,.3000000000000000E+31
95385601.00000,.3000000000000000E+31
95472001.00000,.3000000000000000E+31
95558401.00000,.3000000000000000E+31
95644801.00000,.3000000000000000E+31
95731201.00000,.3000000000000000E+31
95817601.00000,.3000000000000000E+31
95904001.00000,.3000000000000000E+31
95990401.00000,.3000000000000000E+31
96076801.00000,.3000000000000000E+31
96163201.00000,.3000000000000000E+31
96249601.00000,.3000000000000000E+31
96336001.00000,.3000000000000000E+31
96422401.00000,.3000000000000000E+31
96508801.00000,.3000000000000000E+31
96595201.00000,.3000000000000000E+31
96681601.00000,.3000000000000000E+31
96768001.00000,.3000000000000000E+31
96854401.00000,.3000000000000000E+31
96940801.00000,.3000000000000000E+31
97027201.00000,.3000000000000000E+31
97113601.00000,.3000000000000000E+31
97200001.00000,.3000000000000000E+31
97286401.00000,.3000000000000000E+31
97372801.00000,.3000000000000000E+31
97459201.00000,.3000000000000000E+31
97545601.00000,.3000000000000000E+31
97632001.00000,.3000000000000000E+31
97718401.00000,.3000000000000000E+31
97804801.00000,.3000000000000000E+31
97891201.00000,.3000000000000000E+31
97977601.00000,.3000000000000000E+31
98064001.00000,.3000000000000000E+31
98150401.00000,.3000000000000000E+31
98236801.00000,.3000000000000000E+31
98323201.00000,.3000000000000000E+31
98409601.00000,.3000000000000000E+31
98496001.00000,.3000000000000000E+31
98582401.00000,.3000000000000000E+31
98668801.00000,.3000000000000000E+31
98755201.00000,.3000000000000000E+31
98841601.00000,.3000000000000000E+31
98928001.00000,.3000000000000000E+31
99014401.00000,.3000000000000000E+31
99100801.00000,.3000000000000000E+31
99187201.00000,.3000000000000000E+31
99273601.00000,.3000000000000000E+31
99360001.00000,.3000000000000000E+31
99446401.00000,.3000000000000000E+31
99532801.00000,.3000000000000000E+31
99619201.00000,.3000000000000000E+31
99705601.00000,.3000000000000000E+31
99792001.00000,.3000000000000000E+31
99878401.00000,.3000000000000000E+31
99964801.00000,.3000000000000000E+31
100051201.0000,.3000000000000000E+31
100137601.0000,.3000000000000000E+31
100224001.0000,.3000000000000000E+31
100310401.0000,.3000000000000000E+31
100396801.0000,.3000000000000000E+31
100483201.0000,.3000000000000000E+31
100569601.0000,.3000000000000000E+31
100656001.0000,.3000000000000000E+31
100742401.0000,.3000000000000000E+31
100828801.0000,.3000000000000000E+31
100915201.0000,.3000000000000000E+31
101001601.0000,.3000000000000000E+31
101088001.0000,.3000000000000000E+31
101174401.0000,.3000000000000000E+31
101260801.0000,.3000000000000000E+31
101347201.0000,.3000000000000000E+31
101433601.0000,.3000000000000000E+31
101520001.0000,.3000000000000000E+31
101606401.0000,.3000000000000000E+31
101692801.0000,.3000000000000000E+31
101779201.0000,.3000000000000000E+31
101865601.0000,.3000000000000000E+31
101952001.0000,.3000000000000000E+31
102038401.0000,.3000000000000000E+31
102124801.0000,.3000000000000000E+31
102211201.0000,.3000000000000000E+31
102297601.0000,.3000000000000000E+31
102384001.0000,.3000000000000000E+31
102470401.0000,.3000000000000000E+31
102556801.0000,-.7413363021985600E-04
102643201.0000,-.1101781011046306E-03
102729601.0000,-.6782528523740020E-04
102816001.0000,-.1155630126577802E-03
102902401.0000,-.1458744220033947E-03
102988801.0000,-.1667045692492174E-03
103075201.0000,-.1130961489087708E-03
103161601.0000,-.1835352362179218E-03
103248001.0000,-.2053037034130557E-03
103334401.0000,-.2244849739470008E-03
103420801.0000,-.1609914170567304E-03
103507201.0000,-.2060474860187170E-03
103593601.0000,-.2299725860374505E-03
103680001.0000,-.1677545848403372E-03
103766401.0000,-.2169320290702770E-03
103852801.0000,-.2114703079913564E-03
103939201.0000,-.2027606678269667E-03
104025601.0000,-.1858054765129513E-03
104112001.0000,-.2118090062967909E-03
104198401.0000,-.2226733688635014E-03
104284801.0000,-.2412644006019960E-03
104371201.0000,-.2086889240697431E-03
